epoch,acc,loss,val_acc,val_loss
0,0.82111245,0.45856296094392246,0.71429205,1.3116732851315933
1,0.9065752,0.2511321872411963,0.730527,1.4396190851017294
2,0.92224526,0.21495763409457863,0.73034954,1.494814643132678
3,0.9390028,0.1821331605520439,0.7288857,1.5936739677080793
4,0.94232893,0.1726351512254113,0.7285309,1.5957878576770075
5,0.9424242,0.16891192208320266,0.7291519,1.6111782221103748
6,0.94399595,0.16371881006074832,0.7337207,1.6294341147305527
7,0.94430554,0.1606269756900165,0.73199075,1.636555054568077
8,0.9441706,0.15866644576713673,0.7325674,1.6147140182549433
9,0.9445675,0.15732266182300386,0.7338538,1.6172182853865742
10,0.9441388,0.15611434534795238,0.7355394,1.6216416364024089
11,0.94434524,0.15528454681070752,0.7467175,1.6129213491384657
12,0.9454804,0.15332850523715721,0.74733853,1.7380859810591929
13,0.9458217,0.15133747144656215,0.7479152,1.7309618859510205
14,0.9458773,0.1511480130819636,0.7482257,1.6978832061532714
15,0.9464409,0.15056562912947422,0.7473829,1.6956147163091102
16,0.94512314,0.15054271956238946,0.7485806,1.7196517254419577
17,0.944885,0.15068178683301475,0.74525374,1.773765164393749
18,0.94544864,0.1493724750349016,0.7466288,1.7716016910065988
19,0.9469728,0.14609950540157282,0.74667317,1.7702943642482933
20,0.9473379,0.145854880572464,0.7452981,1.8093849316271085
21,0.9462504,0.1486809128278394,0.743923,1.761481410237472
22,0.9455121,0.14923236959829522,0.744544,1.7367706122002422
23,0.945782,0.1470787008316446,0.7460078,1.7437289258937112
24,0.94636947,0.14522165850388158,0.74325764,1.8507688664180155
25,0.94597256,0.14629873859552378,0.74441093,1.8224917421893416
26,0.9454248,0.14708020990320544,0.74312454,1.8102515943723845
27,0.9446786,0.14929089175201096,0.74205995,1.8708802423551625
28,0.94659966,0.14648655398978805,0.7452981,1.86126493647261
29,0.94536924,0.14737835984183842,0.74174947,1.8491355715553501
30,0.94552004,0.1464285393663838,0.74410045,1.9173016039465571
31,0.9463377,0.1462307838146126,0.74241483,1.8813169656851514
32,0.9466155,0.14418283229797407,0.7416608,1.8907225383372912
33,0.9462742,0.14514497729098041,0.7427253,1.8740309810409992
34,0.9471315,0.14403534579237579,0.74161637,1.909015363385019
35,0.94608366,0.14585575925587319,0.74197125,1.9341026306829188
36,0.9462266,0.145197133143785,0.743302,1.8806911710837448
37,0.9466949,0.1448800290945454,0.74197125,1.8692308051142819
38,0.94620275,0.14485533351305255,0.74334633,1.8903419778882569
39,0.94730616,0.14284282574396853,0.7427253,1.9334180759909814
40,0.9462504,0.14432002134035557,0.7422374,1.9581254696998298
41,0.94635355,0.14453301430656992,0.74210435,1.9463061338899996
42,0.9461869,0.14448538049946086,0.7408623,1.9231466007325733
43,0.94512314,0.14683934908886656,0.74241483,1.886083814556756
44,0.9466473,0.1434446001129531,0.74232614,1.9394253209349617
45,0.9472506,0.1432580032558136,0.7429471,1.9122268586843212
46,0.9461869,0.14433919048898497,0.74126154,1.9348639542008224
47,0.94679815,0.14385344462555377,0.74090666,1.9783305730842546
48,0.9470521,0.14426873722241088,0.740951,1.9874918233679912
49,0.94659966,0.14337336344695484,0.7417938,1.9604361739625653
50,0.9467664,0.14473555442096164,0.74126154,1.9519420472060305
51,0.9467664,0.142904661274254,0.7426366,1.9776167742447959
52,0.9466155,0.14450555753149752,0.7426366,1.9726609591899653
53,0.94726646,0.14172374850696412,0.73988646,2.0129881427590943
54,0.9478063,0.141261421003541,0.7410841,1.9521128310219797
55,0.946814,0.1437458486313233,0.7397977,1.9820005729043628
56,0.94682986,0.14234884690931043,0.7271558,2.031231752645047
57,0.9470601,0.14277145384229986,0.7403744,2.061752621462533
58,0.94683784,0.14313936797194934,0.7409954,2.0126237838593166
59,0.9477666,0.1405105770521884,0.74148333,2.0688012786648473
